Date of Download: 2023-06-13_15:13:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Parameters: Data Level:all  Trait List:  Trial List:10977  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,branching level counting|CO_334:0000079,dry matter content by specific gravity method|CO_334:0000160,first apical branch height measurement in cm|CO_334:0000106,fresh root yield|CO_334:0000013,fresh storage root weight per plot|CO_334:0000012,initial plant vigor assessment 1-5|CO_334:0000220,lodged plants estimation 1-3|CO_334:0000301,marketable root number counting|CO_334:0000169,number of planted stakes per plot counting|CO_334:0000159,plant architecture visual rating 1-5|CO_334:0000099,plant height measurement in cm|CO_334:0000018,plant height with leaf in cm|CO_334:0000123,plant stands harvested counting|CO_334:0000010,root color visual rating 1-3|CO_334:0000221,root constriction visual rating 1-3|CO_334:0000109,root evaluation scaled 1-5|CO_334:0000228,root length evaluation scaled 1-3|CO_334:0000226,root weight in air|CO_334:0000157,root weight in water|CO_334:0000158,rotted storage root counting|CO_334:0000084,sprout count discrete counting|CO_334:0000138,storage root neck length visual rating 1-3|CO_334:0000223,storage root shape visual rating 1-6|CO_334:0000020,thrips severity : visual 1-5|CO_334:0002084,total carotenoid by chart 1-8|CO_334:0000161,notes
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",10977,202267IDEPR_repe,202267IDEPR_repe,RCBD,1.3,3.2,,no,no,2022-July-25,2023-April-17,56,"Repelon. Atlantico, Colombia",4207301,AM1472A-100,,plot,5328714,202267IDEPR_repe_rep1_AM1472A-100_615,1,1,615,14,30,test,,2,28.29930556,120,5.769230769,2.4,3,2,6,4,4,180,30,3,1,1,4,2,2170,154,6,4,2,2,3,4,"Alta Pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",10977,202267IDEPR_repe,202267IDEPR_repe,RCBD,1.3,3.2,,no,no,2022-July-25,2023-April-17,56,"Repelon. Atlantico, Colombia",4207302,AM1472A-101,,plot,5329537,202267IDEPR_repe_rep1_AM1472A-101_264,1,1,264,6,13,test,,,,,,,2,,,4,,,,,,,,,,,,2,,,3,," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",10977,202267IDEPR_repe,202267IDEPR_repe,RCBD,1.3,3.2,,no,no,2022-July-25,2023-April-17,56,"Repelon. Atlantico, Colombia",4207303,AM1472A-102,,plot,5329101,202267IDEPR_repe_rep1_AM1472A-102_320,1,1,320,7,44,test,,,,,,,,,,4,,,,,,,,,,,,0,,,,," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",10977,202267IDEPR_repe,202267IDEPR_repe,RCBD,1.3,3.2,,no,no,2022-July-25,2023-April-17,56,"Repelon. Atlantico, Colombia",4207304,AM1472A-103,,plot,5329320,202267IDEPR_repe_rep1_AM1472A-103_24,1,1,24,1,24,test,,3,22.12012448,140,1.201923077,0.5,2,2,0,4,3,220,30,1,3,1,4,2,250,9,0,1,1,2,4,3," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",10977,202267IDEPR_repe,202267IDEPR_repe,RCBD,1.3,3.2,,no,no,2022-July-25,2023-April-17,56,"Repelon. Atlantico, Colombia",4207305,AM1472A-104,,plot,5328665,202267IDEPR_repe_rep1_AM1472A-104_792,1,1,792,18,37,test,,,,,,,1,,,4,,,,,,,,,,,,1,,,2,," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",10977,202267IDEPR_repe,202267IDEPR_repe,RCBD,1.3,3.2,,no,no,2022-July-25,2023-April-17,56,"Repelon. Atlantico, Colombia",4207306,AM1472A-105,,plot,5328793,202267IDEPR_repe_rep1_AM1472A-105_776,1,1,776,17,40,test,,0,30.10305344,140,2.403846154,1,3,2,1,4,5,140,30,4,3,2,4,3,570,46,3,4,2,3,1,4,"Alta Pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",10977,202267IDEPR_repe,202267IDEPR_repe,RCBD,1.3,3.2,,no,no,2022-July-25,2023-April-17,56,"Repelon. Atlantico, Colombia",4207300,AM1472A-10,,plot,5329859,202267IDEPR_repe_rep1_AM1472A-10_61,1,1,61,2,32,test,,1,33.12328244,120,7.692307692,3.2,3,2,3,4,3,180,20,4,3,3,4,3,2320,224,1,4,2,3,2,3," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",10977,202267IDEPR_repe,202267IDEPR_repe,RCBD,1.3,3.2,,no,no,2022-July-25,2023-April-17,56,"Repelon. Atlantico, Colombia",4207307,AM1472A-106,,plot,5329622,202267IDEPR_repe_rep1_AM1472A-106_804,1,1,804,18,25,test,,0,31.34791304,150,1.201923077,0.5,2,2,0,4,4,150,30,3,3,1,4,2,630,55,0,3,1,2,3,1,"Alta Pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",10977,202267IDEPR_repe,202267IDEPR_repe,RCBD,1.3,3.2,,no,no,2022-July-25,2023-April-17,56,"Repelon. Atlantico, Colombia",4207308,AM1472A-107,,plot,5329157,202267IDEPR_repe_rep1_AM1472A-107_545,1,1,545,12,8,test,,2,26.3643975,50,1.201923077,0.5,3,2,0,4,4,150,30,3,3,1,4,1,680,41,1,3,1,2,2,3,"Alta Pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",10977,202267IDEPR_repe,202267IDEPR_repe,RCBD,1.3,3.2,,no,no,2022-July-25,2023-April-17,56,"Repelon. Atlantico, Colombia",4207309,AM1472A-108,,plot,5329415,202267IDEPR_repe_rep1_AM1472A-108_141,1,1,141,4,44,test,,,,,,,,,,4,,,,,,,,,,,,0,,,,," (Operator: lizbethpino, Time: )"
