Date of Download: 2023-06-13_15:16:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Parameters: Data Level:all  Trait List:  Trial List:11142  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,branching level counting|CO_334:0000079,dry matter content by specific gravity method|CO_334:0000160,first apical branch height measurement in cm|CO_334:0000106,fresh root yield|CO_334:0000013,fresh storage root weight per plot|CO_334:0000012,initial plant vigor assessment 1-5|CO_334:0000220,lodged plants estimation 1-3|CO_334:0000301,marketable root number counting|CO_334:0000169,number of planted stakes per plot counting|CO_334:0000159,plant architecture visual rating 1-5|CO_334:0000099,plant height measurement in cm|CO_334:0000018,plant height with leaf in cm|CO_334:0000123,plant stands harvested counting|CO_334:0000010,root color visual rating 1-3|CO_334:0000221,root constriction visual rating 1-3|CO_334:0000109,root evaluation scaled 1-5|CO_334:0000228,root length evaluation scaled 1-3|CO_334:0000226,root weight in air|CO_334:0000157,root weight in water|CO_334:0000158,sprout count discrete counting|CO_334:0000138,storage root neck length visual rating 1-3|CO_334:0000223,storage root shape visual rating 1-6|CO_334:0000020,thrips severity : visual 1-5|CO_334:0002084,total carotenoid by chart 1-8|CO_334:0000161,notes
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207301,AM1472A-100,,plot,5914395,202268IDEPR_cere_rep1_AM1472A-100_745,1,1,745,17,41,test,,0,29.97173913,110,2.380952381,0.8,2,1,0,4,4,110,10,3,1,1,4,1,800,64,3,1,1,,2," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207302,AM1472A-101,,plot,5915132,202268IDEPR_cere_rep1_AM1472A-101_662,1,1,662,16,43,test,,0,27.81762075,140,1.785714286,0.6,3,1,0,4,1,140,40,3,3,1,4,2,600,41,4,1,3,,2," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207303,AM1472A-102,,plot,5914054,202268IDEPR_cere_rep1_AM1472A-102_351,1,1,351,8,2,test,,6,34.50780933,30,3.273809524,1.1,3,1,1,4,4,190,10,1,3,1,3,2,1100,114,1,2,2,1,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207300,AM1472A-10,,plot,5914472,202268IDEPR_cere_rep1_AM1472A-10_242,1,1,242,6,23,test,,2,38.4597942,100,22.76785714,7.65,5,1,10,4,2,200,20,4,3,1,3,2,4600,567,4,1,3,1,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207304,AM1472A-103,,plot,5914404,202268IDEPR_cere_rep1_AM1472A-103_123,1,1,123,3,35,test,,3,20.26794872,90,2.827380952,0.95,4,2,0,4,3,210,40,4,3,1,5,3,1000,25,4,3,3,1,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207305,AM1472A-104,,plot,5914903,202268IDEPR_cere_rep1_AM1472A-104_258,1,1,258,6,7,test,,5,33.26319235,30,3.511904762,1.18,3,1,0,4,4,150,30,3,3,3,4,2,1100,107,2,1,3,3,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207306,AM1472A-105,,plot,5915117,202268IDEPR_cere_rep1_AM1472A-105_37,1,1,37,1,37,test,,0,33.94486741,190,8.035714286,2.7,5,1,2,4,3,190,20,4,3,1,3,2,2600,262,4,2,3,1,2," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207307,AM1472A-106,,plot,5913734,202268IDEPR_cere_rep1_AM1472A-106_292,1,1,292,7,28,test,,2,33.66848138,50,14.28571429,4.8,3,1,5,4,3,170,20,4,3,1,3,2,3100,308,4,1,3,1,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207308,AM1472A-107,,plot,5915170,202268IDEPR_cere_rep1_AM1472A-107_99,1,1,99,3,11,test,,2,35.83268353,70,12.64880952,4.25,4,2,6,4,3,190,40,4,3,1,3,2,3200,353,4,2,3,1,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207309,AM1472A-108,,plot,5914814,202268IDEPR_cere_rep1_AM1472A-108_543,1,1,543,13,15,test,,0,29.97173913,210,3.273809524,1.1,3,1,0,4,2,210,40,1,3,2,4,2,1000,80,1,1,3,,2," (Operator: lizbethpino, Time: )"
