"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","branch_number","DM_gravity","height_1st_branch","yield_ha","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_weight_plot","vigor1_5","lodging1_3","root_number_commercial","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8"
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-100_615",1,615,14,30,"test","Alta Pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","AM1472A-100","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",2,28.29930556,120,5.769230769,4,100,5.76923076923077,1.63265224384615,2.4,3,2,6,4,4,180,30,3,1,1,4,2,2170,154,6,4,2,2,3,4
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-101_264",1,264,6,13,"test"," (Operator: lizbethpino, Time: )","AM1472A-101","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,4,50,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-102_320",1,320,7,44,"test"," (Operator: lizbethpino, Time: )","AM1472A-102","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-103_24",1,24,1,24,"test"," (Operator: lizbethpino, Time: )","AM1472A-103","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",3,22.12012448,140,1.201923077,4,25,1.20192307692308,0.265866880769231,0.5,2,2,0,4,3,220,30,1,3,1,4,2,250,9,0,1,1,2,4,3
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-104_792",1,792,18,37,"test"," (Operator: lizbethpino, Time: )","AM1472A-104","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,4,25,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-105_776",1,776,17,40,"test","Alta Pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","AM1472A-105","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",0,30.10305344,140,2.403846154,4,100,2.40384615384615,0.723631092307692,1,3,2,1,4,5,140,30,4,3,2,4,3,570,46,3,4,2,3,1,4
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-10_61",1,61,2,32,"test"," (Operator: lizbethpino, Time: )","AM1472A-10","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1,33.12328244,120,7.692307692,4,100,7.69230769230769,2.54794480307692,3.2,3,2,3,4,3,180,20,4,3,3,4,3,2320,224,1,4,2,3,2,3
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-106_804",1,804,18,25,"test","Alta Pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","AM1472A-106","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",0,31.34791304,150,1.201923077,4,75,1.20192307692308,0.376777800961538,0.5,2,2,0,4,4,150,30,3,3,1,4,2,630,55,0,3,1,2,3,1
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-107_545",1,545,12,8,"test","Alta Pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","AM1472A-107","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",2,26.3643975,50,1.201923077,4,75,1.20192307692308,0.316879777644231,0.5,3,2,0,4,4,150,30,3,3,1,4,1,680,41,1,3,1,2,2,3
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-108_141",1,141,4,44,"test"," (Operator: lizbethpino, Time: )","AM1472A-108","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
